,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,18.9505,0.945992432,3.1919,0.300972993
1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,19.0033,0.692520776,3.33876,0.310844231
2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,19.0255,0.497377464,3.31812,0.355958664
3,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,19.0118,0.581272458,3.26195,0.356918652
4,0.0,0.0,0.0,0.279800208,0.564200254,4.71238898,0.0,0.0,19.9087,0.945992432,3.19304,0.225901859
5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,18.7897,0.598086124,3.31617,0.356168324
6,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,18.3146,0.692520776,3.16493,0.369403896
7,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,19.1191,0.497377464,3.24135,0.340299527
8,0.0,0.568800092,0.142200023,-0.288999885,-0.431199908,2.35619449,0.0,0.0,19.7649,0.945992432,3.2156,0.30442595
9,0.0,0.0,0.11296777,0.807484328,0.694516557,0.785398163,0.0,0.0,19.9015,0.581272458,3.2394,0.33909647
10,0.0,1.137600185,0.568800092,0.564200254,0.564200254,2.748893572,0.0,0.0,19.7316,0.945992432,3.1403,0.26236241
11,0.0,0.074945127,0.074945127,0.948573303,0.836155612,3.141592654,0.0,0.0,19.9285,0.530171583,3.32482,0.213665
12,0.0,0.089621481,0.179242961,0.702808131,0.882051093,0.785398163,0.0,0.0,19.497,0.692520776,3.2805,0.274063356
13,0.0,0.426600069,0.426600069,0.422000231,0.422000231,2.748893572,0.0,0.0,19.9108,0.945992432,3.211,0.238574975
14,0.0,1.137600185,0.853200138,0.422000231,-0.004599839,0.392699082,0.0,0.0,19.4564,0.945992432,3.2204,0.339245914
15,0.0,0.268864442,0.0,-0.462271116,0.971672573,1.570796327,0.0,0.0,18.2375,0.692520776,3.3211,0.218613749
16,0.0,0.142200023,0.711000115,0.8486003,0.564200254,5.497787144,0.0,0.0,19.0891,0.945992432,3.1752,0.202298813
17,0.0,0.268864442,0.358485922,-0.641514078,-0.462271116,1.963495408,0.0,0.0,19.9362,0.692520776,3.4055,0.243132697
18,0.0,0.089621481,0.358485922,0.702808131,0.702808131,1.178097245,0.0,0.0,19.5972,0.692520776,3.36204,0.241506737
19,0.0,1.137600185,0.142200023,0.564200254,-0.573399931,0.785398163,0.0,0.0,19.2132,0.945992432,3.1963,0.447986262
20,0.0,0.044872416,0.11218104,0.907077679,0.974386302,3.926990817,0.0,0.0,19.1019,0.497377464,3.4217,0.189978863
21,0.0,0.037472564,0.0,-0.775164619,-0.962527436,3.534291735,0.0,0.0,19.526,0.530171583,3.4073,0.190805365
22,0.0,0.0,0.089744832,-0.88781896,-0.842946544,3.534291735,0.0,0.0,18.8538,0.497377464,3.3248,0.183452454
23,0.0,0.178370164,0.0,-0.583802951,-0.940543279,0.392699082,0.0,0.0,19.3303,0.598086124,3.3151,0.280644745
24,0.0,0.358485922,0.716971845,-0.462271116,0.792429612,0.0,0.0,0.0,19.2982,0.692520776,3.2675,0.363384333
25,0.0,0.059456721,0.118913443,0.724244918,0.724244918,1.570796327,0.0,0.0,19.3846,0.598086124,3.1754,0.349703582
26,0.0,0.178370164,0.059456721,0.843158361,0.664788197,2.35619449,0.0,0.0,19.3451,0.598086124,3.1664,0.199565736
27,0.0,0.268864442,0.089621481,-0.641514078,-0.551892597,4.71238898,0.0,0.0,19.058,0.692520776,3.4531,0.201537374
28,0.0,0.134617248,0.022436208,0.951950094,0.884641471,3.141592654,0.0,0.0,19.164,0.497377464,3.3662,0.223585704
29,0.0,0.716971845,0.268864442,0.882051093,0.792429612,5.105088062,0.0,0.0,19.2779,0.692520776,3.1573,0.167576273
30,0.0,1.137600185,0.711000115,0.706400277,0.8486003,0.392699082,0.0,0.0,19.8104,0.945992432,3.1965,0.331878105
31,0.0,0.0,0.448107403,-0.910378519,-0.462271116,6.283185307,0.0,0.0,19.2564,0.692520776,3.4623,0.174755663
32,0.0,0.0,0.179242961,-0.910378519,-0.731135558,0.0,0.0,0.0,18.9719,0.692520776,3.2086,0.240476456
33,0.0,0.0,0.0,-0.977563792,-0.977563792,0.0,0.0,0.0,19.2605,0.497377464,3.3606,0.252618817
34,0.0,0.0,0.0,0.52356517,0.971672573,6.283185307,0.0,0.0,18.7905,0.692520776,3.3655,0.150301018
35,0.0,0.0,0.896214806,0.52356517,0.882051093,0.0,0.0,0.0,19.0651,0.692520776,3.2708,0.361432845
36,0.0,0.0,0.0,-0.943516115,-0.943516115,6.283185307,0.0,0.0,19.3658,0.581272458,3.2213,0.153266411
37,0.0,0.0,0.0,-0.462271116,-0.910378519,0.0,0.0,0.0,19.0663,0.692520776,3.255,0.322003189
38,0.0,0.0,0.0,-0.462271116,-0.910378519,0.0,0.0,0.0,18.9966,0.692520776,3.391,0.285288479
39,0.0,0.157053456,0.157053456,0.974386302,0.974386302,0.0,0.0,0.0,19.0371,0.497377464,3.3135,0.274923975
40,0.0,0.448107403,0.0,-0.462271116,-0.910378519,6.283185307,0.0,0.0,18.966,0.692520776,3.4465,0.205114445
41,0.0,0.0,0.448107403,-0.910378519,-0.462271116,0.0,0.0,0.0,19.4013,0.692520776,3.3841,0.276625923
42,0.0,0.0,0.426600069,-0.857799977,-0.431199908,6.283185307,0.0,0.0,19.1667,0.945992432,3.4608,0.167857437
43,0.0,0.0,0.995400161,-0.857799977,0.8486003,0.0,0.0,0.0,19.414,0.945992432,3.3534,0.300566106
44,0.0,0.0,0.112417691,-0.962527436,0.986045866,0.0,0.0,0.0,19.1749,0.530171583,3.1718,0.14872264
45,0.0,0.0,0.853200138,-0.857799977,-0.004599839,0.0,0.0,0.0,19.8974,0.945992432,3.3585,0.351105992
46,0.0,0.896214806,0.627350364,0.882051093,0.792429612,6.283185307,0.0,0.0,19.689,0.692520776,3.2057,0.154085011
47,0.0,0.0,0.142200023,-0.857799977,-0.715599954,6.283185307,0.0,0.0,19.753,0.945992432,3.1613,0.12221841
48,0.0,0.0,1.137600185,0.990800323,0.279800208,6.283185307,0.0,0.0,18.9707,0.945992432,3.4016,0.128833612
49,0.0,0.0,0.426600069,0.990800323,-0.431199908,0.0,0.0,0.0,19.887,0.945992432,3.14889,0.171490896
