used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,20,25526.7,25657.26926,25657.26926,-2752.829258,-0.817228681,17
1,20.01,25580,25629.23973,25629.23973,-2671.499727,-0.307868577,83
1,20.02,25646.7,25601.31499,25601.31499,-2576.874988,0.283397951,-108475.0789
1,20.03,25260,25573.4947,25573.4947,-2935.754698,-1.97248417,142521.9561
1,20.04,25610,25545.77851,25545.77851,-2558.038511,0.401305936, 
1,20.05,24986.7,25518.16608,25518.16608,-3153.726084,-3.362181108, 
1,20.06,25780,25490.65707,25490.65707,-2332.917075,1.80206898, 
1,20.07,25286.7,25463.25114,25463.25114,-2798.811142,-1.110259387, 
1,20.08,25436.7,25435.94794,25435.94794,-2621.507945,0.004715408, 
1,20.09,24590,25408.74714,25408.74714,-3441.007143,-5.221202452, 
1,20.1,25063.3,25381.6484,25381.6484,-2940.608398,-2.010867906, 
1,20.11,25306.7,25354.65137,25354.65137,-2670.211372,-0.301427781, 
1,20.12,25006.7,25327.75573,25327.75573,-2943.315727,-2.030262666, 
1,20.13,25146.7,25300.96113,25300.96113,-2776.521126,-0.972783057, 
1,20.14,25183.3,25274.26724,25274.26724,-2713.227236,-0.573229693, 
1,20.15,24996.7,25247.67372,25247.67372,-2873.23372,-1.587401948, 
1,20.16,25076.7,25221.18025,25221.18025,-2766.740245,-0.912374794, 
1,20.17,24993.3,25194.78648,25194.78648,-2823.746479,-1.274483177, 
1,20.18,25086.7,25168.49209,25168.49209,-2704.052089,-0.516403925, 
1,20.19,25156.7,25142.29674,25142.29674,-2607.856745,0.090810031, 
1,20.2,25233.3,25116.20011,25116.20011,-2505.160115,0.73717304, 
1,20.21,24810,25090.20187,25090.20187,-2902.46187,-1.778925039, 
1,20.22,24610,25064.30168,25064.30168,-3076.561683,-2.895933193, 
1,20.23,25053.3,25038.49922,25038.49922,-2607.459225,0.093508695, 
1,20.24,25063.3,25012.79417,25012.79417,-2571.754169,0.319023295, 
1,20.25,25066.7,24987.18619,24987.18619,-2542.746189,0.50221998, 
1,20.26,25110,24961.67496,24961.67496,-2473.934961,0.936032904, 
1,20.27,25103.3,24936.26016,24936.26016,-2455.220159,1.054276823, 
1,20.28,24800,24910.94146,24910.94146,-2733.201461,-0.704478982, 
1,20.29,25163.3,24885.71854,24885.71854,-2344.678544,1.749873491, 
1,20.3,24693.3,24860.59109,24860.59109,-2789.551086,-1.064592085, 
1,20.31,24666.7,24835.55877,24835.55877,-2791.118765,-1.075147585, 
1,20.32,24783.3,24810.62126,24810.62126,-2649.581263,-0.173548638, 
1,20.33,24563.3,24785.77826,24785.77826,-2844.73826,-1.419528849, 
1,20.34,24993.3,24761.02944,24761.02944,-2389.989437,1.469204911, 
1,20.35,24766.7,24736.37448,24736.37448,-2591.934477,0.192696678, 
1,20.36,25336.7,24711.81306,24711.81306,-1997.373063,3.925784187, 
1,20.37,24806.7,24687.34488,24687.34488,-2502.904879,0.757803417, 
1,20.38,24500,24662.96961,24662.96961,-2785.22961,-1.041174649, 
1,20.39,24920,24638.68694,24638.68694,-2340.946943,1.782033532, 
1,20.4,24836.7,24614.49656,24614.49656,-2400.056562,1.409950378, 
1,20.41,24736.7,24590.39816,24590.39816,-2475.958156,0.930205531, 
1,20.42,24833.3,24566.39141,24566.39141,-2355.351414,1.693734474, 
1,20.43,24760,24542.47602,24542.47602,-2404.736023,1.382393916, 
1,20.44,24670,24518.65168,24518.65168,-2470.911675,0.963591686, 
1,20.45,24713.3,24494.91806,24494.91806,-2403.878059,1.38915706, 
1,20.46,24486.7,24471.27487,24471.27487,-2606.834868,0.098574315, 
1,20.47,24590,24447.72179,24447.72179,-2479.981793,0.90731715, 
1,20.48,24580,24424.25853,24424.25853,-2466.518527,0.993375256, 
1,20.49,24766.7,24400.88477,24400.88477,-2256.444766,2.324490181, 
1,20.5,24926.7,24377.6002,24377.6002,-2073.160202,3.477914413, 
1,20.51,24750,24354.40453,24354.40453,-2226.664533,2.514569857, 
1,20.52,24803.3,24331.29745,24331.29745,-2150.257454,2.997019775, 
1,20.53,24820,24308.27866,24308.27866,-2110.538662,3.248124282, 
1,20.54,24490,24285.34786,24285.34786,-2417.607856,1.307741501, 
1,20.55,24306.7,24262.50473,24262.50473,-2578.064734,0.283473685, 
1,20.56,24420,24239.749,24239.749,-2442.008996,1.15346617, 
1,20.57,24393.3,24217.08034,24217.08034,-2446.040343,1.128285674, 
1,20.58,24313.3,24194.49847,24194.49847,-2503.458475,0.761903665, 
1,20.59,24786.7,24172.00309,24172.00309,-2007.563094,3.904376336, 
1,20.6,24823.3,24149.5939,24149.5939,-1948.553904,4.276029762, 
1,20.61,24136.7,24127.27061,24127.27061,-2612.830607,0.060693864, 
1,20.62,24210,24105.03291,24105.03291,-2517.292909,0.67461465, 
1,20.63,24216.7,24082.88051,24082.88051,-2488.440514,0.859927579, 
1,20.64,24086.7,24060.81313,24060.81313,-2596.373128,0.166798034, 
1,20.65,24166.7,24038.83046,24038.83046,-2494.390458,0.822542664, 
1,20.66,24370,24016.93221,24016.93221,-2269.192212,2.261675701, 
1,20.67,24110,23995.1181,23995.1181,-2507.378098,0.739865903, 
1,20.68,24173.3,23973.38782,23973.38782,-2422.347824,1.285793644, 
1,20.69,24470,23951.7411,23951.7411,-2104.001102,3.313063674, 
1,20.7,24526.7,23930.17764,23930.17764,-2025.737641,3.808966626, 
1,20.71,24756.7,23908.69715,23908.69715,-1774.257152,5.389530496, 
1,20.72,24453.3,23887.29935,23887.29935,-2056.259349,3.619496764, 
1,20.73,23873.3,23865.98394,23865.98394,-2614.943944,0.047350089, 
1,20.74,23756.7,23844.75065,23844.75065,-2710.31065,-0.571267492, 
1,20.75,23650,23823.59918,23823.59918,-2795.859183,-1.128839259, 
1,20.76,23486.7,23802.52926,23802.52926,-2938.089258,-2.060826162, 
1,20.77,23770,23781.54059,23781.54059,-2633.80059,-0.074853722, 
1,20.78,24026.7,23760.6329,23760.6329,-2356.192896,1.716501234, 
1,20.79,23753.3,23739.80589,23739.80589,-2608.765894,0.087555238, 
1,20.8,23600,23719.0593,23719.0593,-2741.319303,-0.77501005, 
1,20.81,23853.3,23698.39284,23698.39284,-2467.352841,1.002991502, 
1,20.82,23233.3,23677.80623,23677.80623,-3066.766229,-2.916234213, 
1,20.83,23906.7,23657.29919,23657.29919,-2372.859186,1.61301368, 
1,20.84,23166.7,23636.87143,23636.87143,-3092.431435,-3.089044414, 
1,20.85,23320,23616.5227,23616.5227,-2918.782697,-1.941751585, 
1,20.86,23493.3,23596.2527,23596.2527,-2725.212695,-0.671685092, 
1,20.87,23166.7,23576.06115,23576.06115,-3031.621154,-2.68951853, 
1,20.88,23810,23555.9478,23555.9478,-2368.207797,1.646429989, 
1,20.89,23760,23535.91235,23535.91235,-2398.172349,1.453766663, 
1,20.9,23460,23515.95454,23515.95454,-2678.214537,-0.365318194, 
1,20.91,23360,23496.07409,23496.07409,-2758.334087,-0.890305403, 
1,20.92,23310,23476.27073,23476.27073,-2788.530726,-1.089042069, 
1,20.93,23560,23456.54418,23456.54418,-2518.804183,0.674011447, 
1,20.94,23086.7,23436.89419,23436.89419,-2972.454186,-2.304772173, 
1,20.95,23690,23417.32047,23417.32047,-2349.580465,1.771617714, 
1,20.96,23413.3,23397.82275,23397.82275,-2606.782751,0.101149202, 
1,20.97,23056.7,23378.40077,23378.40077,-2943.960774,-2.11862226, 
1,20.98,23696.7,23359.05427,23359.05427,-2284.614266,2.193397437, 
1,20.99,23173.3,23339.78296,23339.78296,-2788.74296,-1.093643679, 
1,21,23773.3,23320.58659,23320.58659,-2169.546589,2.936152607, 
1,21.01,23480,23301.46489,23301.46489,-2443.724887,1.165130565, 
1,21.02,23110,23282.41759,23282.41759,-2794.677589,-1.134178986, 
1,21.03,23020,23263.44443,23263.44443,-2865.704431,-1.604527572, 
1,21.04,23613.3,23244.54515,23244.54515,-2253.505148,2.399713537, 
1,21.05,22936.7,23225.71948,23225.71948,-2911.279477,-1.908365882, 
1,21.06,23036.7,23206.96716,23206.96716,-2792.527156,-1.121813726, 
1,21.07,23023.3,23188.28792,23188.28792,-2787.247924,-1.087347529, 
1,21.08,23353.3,23169.68152,23169.68152,-2438.641519,1.201551141, 
1,21.09,23673.3,23151.14768,23151.14768,-2100.107682,3.393655935, 
1,21.1,23663.3,23132.68615,23132.68615,-2091.646153,3.449379077, 
1,21.11,23273.3,23114.29667,23114.29667,-2463.256672,1.042262783, 
1,21.12,23266.7,23095.97898,23095.97898,-2451.538983,1.11923065, 
1,21.13,22950,23077.73283,23077.73283,-2749.992827,-0.843162299, 
1,21.14,22583.3,23059.55795,23059.55795,-3098.517948,-3.169191883, 
1,21.15,23240,23041.45409,23041.45409,-2423.714091,1.302395482, 
1,21.16,23136.7,23023.421,23023.421,-2508.981,0.744729745, 
1,21.17,22800,23005.45842,23005.45842,-2827.71842,-1.360681624, 
1,21.18,22960,22987.5661,22987.5661,-2649.826097,-0.181923727, 
1,21.19,23223.3,22969.74378,22969.74378,-2368.70378,1.663842843, 
1,21.2,22523.3,22951.99121,22951.99121,-3050.951214,-2.856462798, 
1,21.21,22846.7,22934.30815,22934.30815,-2709.868149,-0.579605859, 
1,21.22,22480,22916.69433,22916.69433,-3058.954334,-2.912590332, 
1,21.23,22473.3,22899.14952,22899.14952,-3048.109518,-2.840682758, 
1,21.24,22643.3,22881.67345,22881.67345,-2860.633451,-1.584119808, 
1,21.25,22770,22864.26589,22864.26589,-2716.525886,-0.624702203, 
1,21.26,22793.3,22846.92657,22846.92657,-2675.886573,-0.355202847, 
1,21.27,23116.7,22829.65526,22829.65526,-2335.215265,1.88793339, 
1,21.28,22586.7,22812.45172,22812.45172,-2848.011715,-1.502120131, 
1,21.29,22816.7,22795.31568,22795.31568,-2600.875677,0.141569299, 
1,21.3,22796.7,22778.24691,22778.24691,-2603.806907,0.122217442, 
1,21.31,22873.3,22761.24516,22761.24516,-2510.205158,0.740911295, 
1,21.32,22720,22744.31019,22744.31019,-2646.570187,-0.161281342, 
1,21.33,22950,22727.44175,22727.44175,-2399.70175,1.469103362, 
1,21.34,22743.3,22710.63961,22710.63961,-2589.599605,0.2165682, 
1,21.35,22480,22693.90351,22693.90351,-2836.163511,-1.426657614, 
1,21.36,22863.3,22677.23322,22677.23322,-2436.193224,1.230550312, 
1,21.37,22603.3,22660.62851,22660.62851,-2679.588505,-0.381315707, 
1,21.38,22743.3,22644.08911,22644.08911,-2523.049115,0.657858644, 
1,21.39,21886.7,22627.61481,22627.61481,-3363.174812,-5.008159301, 
1,21.4,22256.7,22611.20536,22611.20536,-2976.76536,-2.376251585, 
1,21.41,22626.7,22594.86052,22594.86052,-2590.420519,0.21166808, 
1,21.42,22336.7,22578.58005,22578.58005,-2864.140053,-1.618417439, 
1,21.43,22536.7,22562.36373,22562.36373,-2647.923725,-0.170952136, 
1,21.44,22336.7,22546.2113,22546.2113,-2831.771299,-1.401838373, 
1,21.45,22540,22530.12254,22530.12254,-2612.38254,0.065791279, 
1,21.46,22566.7,22514.09721,22514.09721,-2569.657213,0.350166608, 
1,21.47,22260,22498.13508,22498.13508,-2860.395084,-1.596102595, 
1,21.48,22680,22482.23592,22482.23592,-2424.49592,1.313184926, 
1,21.49,22680,22466.39949,22466.39949,-2408.659488,1.41834135, 
1,21.5,22323.3,22450.62556,22450.62556,-2749.585556,-0.852189904, 
1,21.51,22376.7,22434.91389,22434.91389,-2680.473894,-0.389160389, 
1,21.52,22586.7,22419.26427,22419.26427,-2454.824269,1.11409378, 
1,21.53,22310,22403.67645,22403.67645,-2715.936453,-0.627163326, 
1,21.54,22646.7,22388.15022,22388.15022,-2363.710216,1.718073406, 
1,21.55,22650,22372.68533,22372.68533,-2344.945329,1.842632565, 
1,21.56,22636.7,22357.28156,22357.28156,-2342.841565,1.857156483, 
1,21.57,22150,22341.93869,22341.93869,-2814.198695,-1.289661313, 
1,21.58,22500,22326.65649,22326.65649,-2448.916493,1.15562338, 
1,21.59,21836.7,22311.43473,22311.43473,-3096.994733,-3.212606276, 
1,21.6,22296.7,22296.27319,22296.27319,-2621.83319,0.002858345, 
1,21.61,22346.7,22281.17164,22281.17164,-2556.731638,0.438351617, 
1,21.62,21990,22266.12985,22266.12985,-2898.389854,-1.862090345, 
1,21.63,22280,22251.14761,22251.14761,-2593.407614,0.193296569, 
1,21.64,22270,22236.22469,22236.22469,-2588.484695,0.226328464, 
1,21.65,22736.7,22221.36087,22221.36087,-2106.920874,3.417664289, 
1,21.66,22300,22206.55593,22206.55593,-2528.815931,0.625747766, 
1,21.67,22450,22191.80964,22191.80964,-2364.069645,1.72318475, 
1,21.68,22523.3,22177.12179,22177.12179,-2276.081794,2.306660678, 
1,21.69,22363.3,22162.49216,22162.49216,-2421.45216,1.342804292, 
1,21.7,22406.7,22147.92052,22147.92052,-2363.480522,1.728784589, 
1,21.71,21813.3,22133.40666,22133.40666,-2942.366664,-2.167374846, 
1,21.72,22163.3,22118.95037,22118.95037,-2577.910366,0.297901594, 
1,21.73,22053.3,22104.55141,22104.55141,-2673.511412,-0.345119138, 
1,21.74,22226.7,22090.20959,22090.20959,-2485.769585,0.915513302, 
1,21.75,22286.7,22075.92467,22075.92467,-2411.48467,1.411877101, 
1,21.76,22423.3,22061.69645,22061.69645,-2260.65645,2.414809753, 
1,21.77,22026.7,22047.52471,22047.52471,-2643.084712,-0.140315061, 
1,21.78,22306.7,22033.40924,22033.40924,-2348.969241,1.82981542, 
1,21.79,21736.7,22019.34982,22019.34982,-2904.909824,-1.917131546, 
1,21.8,22366.7,22005.34625,22005.34625,-2260.906248,2.416192949, 
1,21.81,21996.7,21991.3983,21991.3983,-2616.9583,0.035746736, 
1,21.82,22520,21977.50577,21977.50577,-2079.765769,3.615021884, 
1,21.83,22143.3,21963.66845,21963.66845,-2442.628445,1.207150607, 
1,21.84,22350,21949.88612,21949.88612,-2222.146117,2.676362014, 
1,21.85,22110,21936.15857,21936.15857,-2448.418574,1.169119499, 
1,21.86,22056.7,21922.48561,21922.48561,-2488.045609,0.903709438, 
1,21.87,21916.7,21908.86701,21908.86701,-2614.427012,0.052910261, 
1,21.88,21716.7,21895.30257,21895.30257,-2800.862575,-1.211967013, 
1,21.89,22116.7,21881.79209,21881.79209,-2387.352091,1.579564902, 
1,21.9,21586.7,21868.33535,21868.33535,-2903.895354,-1.916876105, 
1,21.91,22163.3,21854.93216,21854.93216,-2313.892157,2.071342279, 
1,21.92,21956.7,21841.5823,21841.5823,-2507.142295,0.776888311, 
