used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,20,25526.7,25589.04363,25589.04363,-2684.603631,-0.390206731,17
1,20.01,25580,25562.12668,25562.12668,-2604.386684,0.111751888,83
1,20.02,25646.7,25535.30639,25535.30639,-2510.866394,0.695575882,-16465.85458
1,20.03,25260,25508.58245,25508.58245,-2870.842452,-1.564061388,138140.5645
1,20.04,25610,25481.95455,25481.95455,-2494.214546,0.800127829, 
1,20.05,24986.7,25455.42237,25455.42237,-3090.982366,-2.965249395, 
1,20.06,25780,25428.9856,25428.9856,-2271.245603,2.186167696, 
1,20.07,25286.7,25402.64395,25402.64395,-2738.20395,-0.72912504, 
1,20.08,25436.7,25376.3971,25376.3971,-2561.957098,0.378101003, 
1,20.09,24590,25350.24474,25350.24474,-3382.504741,-4.848128921, 
1,20.1,25063.3,25324.18657,25324.18657,-2883.146572,-1.647906629, 
1,20.11,25306.7,25298.22229,25298.22229,-2613.782288,0.053291863, 
1,20.12,25006.7,25272.35158,25272.35158,-2887.911583,-1.679903041, 
1,20.13,25146.7,25246.57415,25246.57415,-2722.134154,-0.62981444, 
1,20.14,25183.3,25220.8897,25220.8897,-2659.849698,-0.236871342, 
1,20.15,24996.7,25195.29791,25195.29791,-2820.857914,-1.256126398, 
1,20.16,25076.7,25169.7985,25169.7985,-2715.358499,-0.587905449, 
1,20.17,24993.3,25144.39115,25144.39115,-2773.351153,-0.955712432, 
1,20.18,25086.7,25119.07558,25119.07558,-2654.635578,-0.204406998, 
1,20.19,25156.7,25093.85147,25093.85147,-2559.411473,0.396249081, 
1,20.2,25233.3,25068.71854,25068.71854,-2457.678541,1.036081413, 
1,20.21,24810,25043.67648,25043.67648,-2855.936484,-1.483548086, 
1,20.22,24610,25018.72501,25018.72501,-3030.985006,-2.605405959, 
1,20.23,25053.3,24993.86381,24993.86381,-2562.823811,0.375507388, 
1,20.24,25063.3,24969.0926,24969.0926,-2528.052603,0.595067012, 
1,20.25,25066.7,24944.41109,24944.41109,-2499.971089,0.772393293, 
1,20.26,25110,24919.81898,24919.81898,-2432.078975,1.200172929, 
1,20.27,25103.3,24895.31597,24895.31597,-2414.275968,1.312697277, 
1,20.28,24800,24870.90178,24870.90178,-2693.161776,-0.45022673, 
1,20.29,25163.3,24846.57611,24846.57611,-2305.536108,1.996627405, 
1,20.3,24693.3,24822.33867,24822.33867,-2751.298673,-0.821164794, 
1,20.31,24666.7,24798.18918,24798.18918,-2753.749181,-0.83721017, 
1,20.32,24783.3,24774.12734,24774.12734,-2613.087344,0.058266045, 
1,20.33,24563.3,24750.15287,24750.15287,-2809.112873,-1.192220055, 
1,20.34,24993.3,24726.26548,24726.26548,-2355.22548,1.689100948, 
1,20.35,24766.7,24702.46488,24702.46488,-2558.024879,0.408167549, 
1,20.36,25336.7,24678.75078,24678.75078,-1964.310784,4.133494358, 
1,20.37,24806.7,24655.12291,24655.12291,-2470.682909,0.962385498, 
1,20.38,24500,24631.58097,24631.58097,-2753.84097,-0.840639983, 
1,20.39,24920,24608.12468,24608.12468,-2310.384683,1.975636243, 
1,20.4,24836.7,24584.75377,24584.75377,-2370.313766,1.598677733, 
1,20.41,24736.7,24561.46793,24561.46793,-2447.027934,1.114147525, 
1,20.42,24833.3,24538.26691,24538.26691,-2327.226908,1.872205485, 
1,20.43,24760,24515.15041,24515.15041,-2377.410406,1.556051865, 
1,20.44,24670,24492.11815,24492.11815,-2444.378148,1.132523099, 
1,20.45,24713.3,24469.16985,24469.16985,-2378.129854,1.552944876, 
1,20.46,24486.7,24446.30525,24446.30525,-2581.865246,0.258142691, 
1,20.47,24590,24423.52405,24423.52405,-2455.784047,1.061627711, 
1,20.48,24580,24400.82598,24400.82598,-2443.085978,1.142836503, 
1,20.49,24766.7,24378.21076,24378.21076,-2233.770763,2.468567002, 
