used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,diff/sigma,Axis-limits
1,20,25526.7,25657.26926,25657.26926,-2752.829258,29.69866744,Gd1.5Mn0.25Zr2.25O7,168.5823241,17
1,20.01,25580,25629.23973,25629.23973,-2671.499727,34.42481652,-13111.3,168.6318475,83
1,20.02,25646.7,25601.31499,25601.31499,-2576.874988,49.47481269, ,168.0871798,-108475.0789
1,20.03,25260,25573.4947,25573.4947,-2935.754698,58.77004728, ,169.4794973,142521.9561
1,20.04,25610,25545.77851,25545.77851,-2558.038511,61.6598178, ,171.0944184, 
1,20.05,24986.7,25518.16608,25518.16608,-3153.726084,72.56432446, ,168.3249833, 
1,20.06,25780,25490.65707,25490.65707,-2332.917075, , ,169.9214524, 
1,20.07,25286.7,25463.25114,25463.25114,-2798.811142, , ,168.6217661, 
1,20.08,25436.7,25435.94794,25435.94794,-2621.507945, , ,169.0562037, 
1,20.09,24590,25408.74714,25408.74714,-3441.007143, , ,169.7448085, 
1,20.1,25063.3,25381.6484,25381.6484,-2940.608398, , ,170.7533309, 
1,20.11,25306.7,25354.65137,25354.65137,-2670.211372, , ,168.868884, 
1,20.12,25006.7,25327.75573,25327.75573,-2943.315727, , ,168.7504074, 
1,20.13,25146.7,25300.96113,25300.96113,-2776.521126, , ,169.7842749, 
1,20.14,25183.3,25274.26724,25274.26724,-2713.227236, , ,167.4813422, 
1,20.15,24996.7,25247.67372,25247.67372,-2873.23372, , ,169.2238163, 
1,20.16,25076.7,25221.18025,25221.18025,-2766.740245, , ,170.3819239, 
1,20.17,24993.3,25194.78648,25194.78648,-2823.746479, , ,170.3622611, 
1,20.18,25086.7,25168.49209,25168.49209,-2704.052089, , ,170.6261996, 
1,20.19,25156.7,25142.29674,25142.29674,-2607.856745, , ,170.4699387, 
1,20.2,25233.3,25116.20011,25116.20011,-2505.160115, , ,170.7533309, 
1,20.21,24810,25090.20187,25090.20187,-2902.46187, , ,172.1917536, 
1,20.22,24610,25064.30168,25064.30168,-3076.561683, , ,171.1820668, 
1,20.23,25053.3,25038.49922,25038.49922,-2607.459225, , ,171.7943538, 
1,20.24,25063.3,25012.79417,25012.79417,-2571.754169, , ,170.0785113, 
1,20.25,25066.7,24987.18619,24987.18619,-2542.746189, , ,173.0124273, 
1,20.26,25110,24961.67496,24961.67496,-2473.934961, , ,171.1236395, 
1,20.27,25103.3,24936.26016,24936.26016,-2455.220159, , ,170.8996782, 
1,20.28,24800,24910.94146,24910.94146,-2733.201461, , ,172.3853242, 
1,20.29,25163.3,24885.71854,24885.71854,-2344.678544, , ,171.6391564, 
1,20.3,24693.3,24860.59109,24860.59109,-2789.551086, , ,170.8508121, 
1,20.31,24666.7,24835.55877,24835.55877,-2791.118765, , ,172.0950319, 
1,20.32,24783.3,24810.62126,24810.62126,-2649.581263, , ,171.2696704, 
1,20.33,24563.3,24785.77826,24785.77826,-2844.73826, , ,171.4351189, 
1,20.34,24993.3,24761.02944,24761.02944,-2389.989437, , ,171.3671497, 
1,20.35,24766.7,24736.37448,24736.37448,-2591.934477, , ,171.658673, 
1,20.36,25336.7,24711.81306,24711.81306,-1997.373063, , ,173.0511485, 
1,20.37,24806.7,24687.34488,24687.34488,-2502.904879, , ,173.2146068, 
1,20.38,24500,24662.96961,24662.96961,-2785.22961, , ,172.9257066, 
1,20.39,24920,24638.68694,24638.68694,-2340.946943, , ,172.5302872, 
1,20.4,24836.7,24614.49656,24614.49656,-2400.056562, , ,172.5302872, 
1,20.41,24736.7,24590.39816,24590.39816,-2475.958156, , ,173.6280507, 
1,20.42,24833.3,24566.39141,24566.39141,-2355.351414, , ,172.64617, 
1,20.43,24760,24542.47602,24542.47602,-2404.736023, , ,171.1139971, 
1,20.44,24670,24518.65168,24518.65168,-2470.911675, , ,174.8427865, 
1,20.45,24713.3,24494.91806,24494.91806,-2403.878059, , ,173.5511452, 
1,20.46,24486.7,24471.27487,24471.27487,-2606.834868, , ,173.8102414, 
1,20.47,24590,24447.72179,24447.72179,-2479.981793, , ,174.3464941, 
1,20.48,24580,24424.25853,24424.25853,-2466.518527, , ,173.9922412, 
1,20.49,24766.7,24400.88477,24400.88477,-2256.444766, , ,174.2604373, 
1,20.5,24926.7,24377.6002,24377.6002,-2073.160202, , ,175.5562588, 
1,20.51,24750,24354.40453,24354.40453,-2226.664533, , ,174.8047482, 
1,20.52,24803.3,24331.29745,24331.29745,-2150.257454, , ,174.6805656, 
1,20.53,24820,24308.27866,24308.27866,-2110.538662, , ,174.3178132, 
1,20.54,24490,24285.34786,24285.34786,-2417.607856, , ,176.0871943, 
1,20.55,24306.7,24262.50473,24262.50473,-2578.064734, , ,175.3567792, 
1,20.56,24420,24239.749,24239.749,-2442.008996, , ,173.8870323, 
1,20.57,24393.3,24217.08034,24217.08034,-2446.040343, , ,176.1910894, 
1,20.58,24313.3,24194.49847,24194.49847,-2503.458475, , ,175.0237127, 
1,20.59,24786.7,24172.00309,24172.00309,-2007.563094, , ,175.9070777, 
1,20.6,24823.3,24149.5939,24149.5939,-1948.553904, , ,175.1285242, 
1,20.61,24136.7,24127.27061,24127.27061,-2612.830607, , ,175.8217848, 
1,20.62,24210,24105.03291,24105.03291,-2517.292909, , ,175.9451619, 
1,20.63,24216.7,24082.88051,24082.88051,-2488.440514, , ,176.1439752, 
1,20.64,24086.7,24060.81313,24060.81313,-2596.373128, , ,175.4992877, 
1,20.65,24166.7,24038.83046,24038.83046,-2494.390458, , ,175.5277756, 
1,20.66,24370,24016.93221,24016.93221,-2269.192212, , ,177.7827326, 
1,20.67,24110,23995.1181,23995.1181,-2507.378098, , ,176.2762037, 
1,20.68,24173.3,23973.38782,23973.38782,-2422.347824, , ,177.2097627, 
1,20.69,24470,23951.7411,23951.7411,-2104.001102, , ,177.707625, 
1,20.7,24526.7,23930.17764,23930.17764,-2025.737641, , ,176.4936259, 
1,20.71,24756.7,23908.69715,23908.69715,-1774.257152, , ,177.7546061, 
1,20.72,24453.3,23887.29935,23887.29935,-2056.259349, , ,178.2133553, 
1,20.73,23873.3,23865.98394,23865.98394,-2614.943944, , ,178.2133553, 
1,20.74,23756.7,23844.75065,23844.75065,-2710.31065, , ,176.7294543, 
1,20.75,23650,23823.59918,23823.59918,-2795.859183, , ,176.3329238, 
1,20.76,23486.7,23802.52926,23802.52926,-2938.089258, , ,176.4463091, 
1,20.77,23770,23781.54059,23781.54059,-2633.80059, , ,177.2286659, 
1,20.78,24026.7,23760.6329,23760.6329,-2356.192896, , ,176.9087335, 
1,20.79,23753.3,23739.80589,23739.80589,-2608.765894, , ,176.2291122, 
1,20.8,23600,23719.0593,23719.0593,-2741.319303, , ,177.3132821, 
1,20.81,23853.3,23698.39284,23698.39284,-2467.352841, , ,177.2193556, 
1,20.82,23233.3,23677.80623,23677.80623,-3066.766229, , ,177.8856374, 
1,20.83,23906.7,23657.29919,23657.29919,-2372.859186, , ,176.5409301, 
1,20.84,23166.7,23636.87143,23636.87143,-3092.431435, , ,178.605711, 
1,20.85,23320,23616.5227,23616.5227,-2918.782697, , ,177.595045, 
1,20.86,23493.3,23596.2527,23596.2527,-2725.212695, , ,178.4564373, 
1,20.87,23166.7,23576.06115,23576.06115,-3031.621154, , ,179.4714462, 
1,20.88,23810,23555.9478,23555.9478,-2368.207797, , ,179.1926338, 
1,20.89,23760,23535.91235,23535.91235,-2398.172349, , ,177.2097627, 
1,20.9,23460,23515.95454,23515.95454,-2678.214537, , ,178.2787144, 
1,20.91,23360,23496.07409,23496.07409,-2758.334087, , ,176.8049773, 
1,20.92,23310,23476.27073,23476.27073,-2788.530726, , ,178.5869536, 
1,20.93,23560,23456.54418,23456.54418,-2518.804183, , ,178.6989088, 
1,20.94,23086.7,23436.89419,23436.89419,-2972.454186, , ,177.2286659, 
1,20.95,23690,23417.32047,23417.32047,-2349.580465, , ,178.0356706, 
1,20.96,23413.3,23397.82275,23397.82275,-2606.782751, , ,178.269459, 
1,20.97,23056.7,23378.40077,23378.40077,-2943.960774, , ,179.1089054, 
1,20.98,23696.7,23359.05427,23359.05427,-2284.614266, , ,177.7827326, 
1,20.99,23173.3,23339.78296,23339.78296,-2788.74296, , ,178.8295278, 
1,21,23773.3,23320.58659,23320.58659,-2169.546589, , ,179.0064245, 
1,21.01,23480,23301.46489,23301.46489,-2443.724887, , ,179.2855265, 
1,21.02,23110,23282.41759,23282.41759,-2794.677589, , ,178.5217074, 
1,21.03,23020,23263.44443,23263.44443,-2865.704431, , ,177.4260409, 
1,21.04,23613.3,23244.54515,23244.54515,-2253.505148, , ,179.7128265, 
1,21.05,22936.7,23225.71948,23225.71948,-2911.279477, , ,178.2975042, 
1,21.06,23036.7,23206.96716,23206.96716,-2792.527156, , ,179.1647287, 
1,21.07,23023.3,23188.28792,23188.28792,-2787.247924, , ,179.0996929, 
1,21.08,23353.3,23169.68152,23169.68152,-2438.641519, , ,178.9784903, 
1,21.09,23673.3,23151.14768,23151.14768,-2100.107682, , ,178.605711, 
1,21.1,23663.3,23132.68615,23132.68615,-2091.646153, , ,179.3507736, 
1,21.11,23273.3,23114.29667,23114.29667,-2463.256672, , ,178.4188891, 
1,21.12,23266.7,23095.97898,23095.97898,-2451.538983, , ,180.0463829, 
1,21.13,22950,23077.73283,23077.73283,-2749.992827, , ,178.3443299, 
1,21.14,22583.3,23059.55795,23059.55795,-3098.517948, , ,179.4343891, 
1,21.15,23240,23041.45409,23041.45409,-2423.714091, , ,180.4438971, 
1,21.16,23136.7,23023.421,23023.421,-2508.981, , ,179.8054504, 
1,21.17,22800,23005.45842,23005.45842,-2827.71842, , ,180.2498266, 
1,21.18,22960,22987.5661,22987.5661,-2649.826097, , ,180.748444, 
1,21.19,23223.3,22969.74378,22969.74378,-2368.70378, , ,179.6106901, 
1,21.2,22523.3,22951.99121,22951.99121,-3050.951214, , ,179.879682, 
1,21.21,22846.7,22934.30815,22934.30815,-2709.868149, , ,180.1479947, 
1,21.22,22480,22916.69433,22916.69433,-3058.954334, , ,178.428417, 
1,21.23,22473.3,22899.14952,22899.14952,-3048.109518, , ,180.6286245, 
1,21.24,22643.3,22881.67345,22881.67345,-2860.633451, , ,180.4807469, 
1,21.25,22770,22864.26589,22864.26589,-2716.525886, , ,180.6839783, 
1,21.26,22793.3,22846.92657,22846.92657,-2675.886573, , ,181.2732744, 
1,21.27,23116.7,22829.65526,22829.65526,-2335.215265, , ,181.4296007, 
1,21.28,22586.7,22812.45172,22812.45172,-2848.011715, , ,178.7828292, 
1,21.29,22816.7,22795.31568,22795.31568,-2600.875677, , ,181.7140611, 
1,21.3,22796.7,22778.24691,22778.24691,-2603.806907, , ,181.3469051, 
1,21.31,22873.3,22761.24516,22761.24516,-2510.205158, , ,180.2498266, 
1,21.32,22720,22744.31019,22744.31019,-2646.570187, , ,181.0157452, 
1,21.33,22950,22727.44175,22727.44175,-2399.70175, , ,181.0063535, 
1,21.34,22743.3,22710.63961,22710.63961,-2589.599605, , ,182.7019431, 
1,21.35,22480,22693.90351,22693.90351,-2836.163511, , ,181.9156398, 
1,21.36,22863.3,22677.23322,22677.23322,-2436.193224, , ,182.1721713, 
1,21.37,22603.3,22660.62851,22660.62851,-2679.588505, , ,180.5455621, 
1,21.38,22743.3,22644.08911,22644.08911,-2523.049115, , ,181.7781615, 
1,21.39,21886.7,22627.61481,22627.61481,-3363.174812, , ,182.519314, 
1,21.4,22256.7,22611.20536,22611.20536,-2976.76536, , ,179.9908331, 
1,21.41,22626.7,22594.86052,22594.86052,-2590.420519, , ,180.8775829, 
1,21.42,22336.7,22578.58005,22578.58005,-2864.140053, , ,180.9328605, 
1,21.43,22536.7,22562.36373,22562.36373,-2647.923725, , ,183.0663814, 
1,21.44,22336.7,22546.2113,22546.2113,-2831.771299, , ,182.4371125, 
1,21.45,22540,22530.12254,22530.12254,-2612.38254, , ,182.4919176, 
1,21.46,22566.7,22514.09721,22514.09721,-2569.657213, , ,182.1996158, 
1,21.47,22260,22498.13508,22498.13508,-2860.395084, , ,182.8204037, 
1,21.48,22680,22482.23592,22482.23592,-2424.49592, , ,184.1195264, 
1,21.49,22680,22466.39949,22466.39949,-2408.659488, , ,181.7049807, 
1,21.5,22323.3,22450.62556,22450.62556,-2749.585556, , ,183.7479252, 
1,21.51,22376.7,22434.91389,22434.91389,-2680.473894, , ,183.521116, 
1,21.52,22586.7,22419.26427,22419.26427,-2454.824269, , ,182.4828759, 
1,21.53,22310,22403.67645,22403.67645,-2715.936453, , ,184.0470049, 
1,21.54,22646.7,22388.15022,22388.15022,-2363.710216, , ,182.364196, 
1,21.55,22650,22372.68533,22372.68533,-2344.945329, , ,184.0562414, 
1,21.56,22636.7,22357.28156,22357.28156,-2342.841565, , ,184.4903792, 
1,21.57,22150,22341.93869,22341.93869,-2814.198695, , ,183.3758436, 
1,21.58,22500,22326.65649,22326.65649,-2448.916493, , ,183.7661558, 
1,21.59,21836.7,22311.43473,22311.43473,-3096.994733, , ,183.1029765, 
1,21.6,22296.7,22296.27319,22296.27319,-2621.83319, , ,184.4269503, 
1,21.61,22346.7,22281.17164,22281.17164,-2556.731638, , ,183.3485751, 
1,21.62,21990,22266.12985,22266.12985,-2898.389854, , ,184.1377202, 
1,21.63,22280,22251.14761,22251.14761,-2593.407614, , ,182.4371125, 
1,21.64,22270,22236.22469,22236.22469,-2588.484695, , ,184.3005697, 
1,21.65,22736.7,22221.36087,22221.36087,-2106.920874, , ,184.833168, 
1,21.66,22300,22206.55593,22206.55593,-2528.815931, , ,183.330303, 
1,21.67,22450,22191.80964,22191.80964,-2364.069645, , ,183.6483052, 
1,21.68,22523.3,22177.12179,22177.12179,-2276.081794, , ,183.1302815, 
1,21.69,22363.3,22162.49216,22162.49216,-2421.45216, , ,183.2301831, 
1,21.7,22406.7,22147.92052,22147.92052,-2363.480522, , ,184.1377202, 
1,21.71,21813.3,22133.40666,22133.40666,-2942.366664, , ,184.8512916, 
1,21.72,22163.3,22118.95037,22118.95037,-2577.910366, , ,183.8839308, 
1,21.73,22053.3,22104.55141,22104.55141,-2673.511412, , ,182.674574, 
1,21.74,22226.7,22090.20959,22090.20959,-2485.769585, , ,183.0846799, 
1,21.75,22286.7,22075.92467,22075.92467,-2411.48467, , ,182.9390609, 
1,21.76,22423.3,22061.69645,22061.69645,-2260.65645, , ,184.0198359, 
1,21.77,22026.7,22047.52471,22047.52471,-2643.084712, , ,183.3938385, 
1,21.78,22306.7,22033.40924,22033.40924,-2348.969241, , ,186.0645049, 
1,21.79,21736.7,22019.34982,22019.34982,-2904.909824, , ,184.3366486, 
1,21.8,22366.7,22005.34625,22005.34625,-2260.906248, , ,184.5174788, 
1,21.81,21996.7,21991.3983,21991.3983,-2616.9583, , ,184.3005697, 
1,21.82,22520,21977.50577,21977.50577,-2079.765769, , ,184.8242408, 
1,21.83,22143.3,21963.66845,21963.66845,-2442.628445, , ,184.3455994, 
1,21.84,22350,21949.88612,21949.88612,-2222.146117, , ,184.7882572, 
1,21.85,22110,21936.15857,21936.15857,-2448.418574, , ,183.6572895, 
1,21.86,22056.7,21922.48561,21922.48561,-2488.045609, , ,183.9926629, 
1,21.87,21916.7,21908.86701,21908.86701,-2614.427012, , ,184.2370755, 
1,21.88,21716.7,21895.30257,21895.30257,-2800.862575, , ,183.8295406, 
1,21.89,22116.7,21881.79209,21881.79209,-2387.352091, , ,183.5121249, 
1,21.9,21586.7,21868.33535,21868.33535,-2903.895354, , ,185.7237195, 
1,21.91,22163.3,21854.93216,21854.93216,-2313.892157, , ,185.3375299, 
1,21.92,21956.7,21841.5823,21841.5823,-2507.142295, , ,185.1126684, 
1,21.93,21673.3,21828.28556,21828.28556,-2777.245563, , ,185.7237195, 
1,21.94,21523.3,21815.04176,21815.04176,-2914.001757, , ,184.6707882, 
1,21.95,21610,21801.85067,21801.85067,-2814.110673, , ,185.0856558, 
1,21.96,21620,21788.71211,21788.71211,-2790.972107, , ,184.4811644, 
1,21.97,21843.3,21775.62586,21775.62586,-2554.585858, , ,183.7933622, 
1,21.98,21793.3,21762.59172,21762.59172,-2591.551723, , ,185.3645058, 
1,21.99,21583.3,21749.6095,21749.6095,-2788.569501, , ,186.4939677, 
1,22,21323.3,21736.67899,21736.67899,-3035.638991, , ,185.013513, 
1,22.01,21740,21723.79999,21723.79999,-2606.059994, , ,186.6903854, 
1,22.02,21203.3,21710.97231,21710.97231,-3129.932309, , ,185.3375299, 
1,22.03,21826.7,21698.19574,21698.19574,-2493.755738, , ,186.1451047, 
1,22.04,21706.7,21685.47008,21685.47008,-2601.030083, , ,186.7798169, 
1,22.05,21766.7,21672.79514,21672.79514,-2528.355145, , ,186.770715, 
1,22.06,21773.3,21660.17073,21660.17073,-2509.130727, , ,186.868938, 
1,22.07,21923.3,21647.59663,21647.59663,-2346.556633, , ,185.0316189, 
1,22.08,21383.3,21635.07267,21635.07267,-2874.032667, , ,187.2431574, 
1,22.09,21426.7,21622.59863,21622.59863,-2818.158633, , ,187.4654635, 
1,22.1,21630,21610.17434,21610.17434,-2602.434337, , ,188.3348083, 
1,22.11,21173.3,21597.79958,21597.79958,-3046.759583, , ,186.440339, 
1,22.12,21540,21585.47418,21585.47418,-2667.734179, , ,186.6547615, 
1,22.13,21683.3,21573.19793,21573.19793,-2512.157931, , ,186.377842, 
1,22.14,21263.3,21560.97065,21560.97065,-2919.930647, , ,187.2877465, 
1,22.15,21180,21548.79213,21548.79213,-2991.052135, , ,185.1215817, 
1,22.16,21473.3,21540.94752,21536.6622,-2689.90752, , ,186.4135188, 
1,22.17,21786.7,21528.87737,21524.58066,-2364.437367, , ,185.876303, 
1,22.18,21526.7,21516.85546,21512.54732,-2612.41546, , ,187.9449387, 
1,22.19,21390,21504.88161,21500.56198,-2737.141607, , ,187.3854317, 
1,22.2,21350,21492.95562,21488.62447,-2765.215621, , ,184.9505339, 
1,22.21,21406.7,21481.07731,21476.73458,-2696.637313, , ,185.2835665, 
1,22.22,21400,21469.2465,21464.89215,-2691.506495, , ,184.9234977, 
1,22.23,21540,21459.60283,21453.09696,-2541.862831, , ,185.6790241, 
1,22.24,21766.7,21447.87212,21441.34885,-2303.432116, , ,185.8582793, 
1,22.25,21926.7,21436.18835,21429.64762,-2131.748354, , ,185.7597911, 
1,22.26,21703.3,21424.55136,21417.99309,-2343.51136, , ,185.7237195, 
1,22.27,21356.7,21412.96095,21406.38506,-2678.520948, , ,183.9926629, 
1,22.28,21566.7,21401.41693,21394.82337,-2456.976934, , ,186.7439423, 
1,22.29,21816.7,21389.91914,21383.30782,-2195.479136, , ,186.0376306, 
1,22.3,21443.3,21378.46737,21371.83823,-2557.427368, , ,185.6879102, 
1,22.31,21060,21367.06145,21360.41442,-2929.32145, , ,186.8956928, 
1,22.32,21170,21355.7012,21349.0362,-2807.961197, , ,186.0107524, 
1,22.33,21033.3,21344.38643,21337.70339,-2933.346432, , ,186.4314888, 
1,22.34,21283.3,21333.11697,21326.41581,-2672.076969, , ,185.6071119, 
1,22.35,21126.7,21321.89263,21315.17328,-2817.452632, , ,184.9775662, 
1,22.36,21500,21310.71324,21303.97563,-2432.973237, , ,185.5443343, 
1,22.37,21110,21299.57861,21292.82266,-2811.838608, , ,185.148589, 
