used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,20,25526.7,26140.263700556796,26140.263700556796,-3235.823701,-3.840274963,17
1,20.01,25580,26104.723066604212,26104.723066604212,-3146.983067,-3.28080098,83.00000000000001
1,20.02,25646.7,26069.33883,26069.33883,-3044.898834,-2.639086671,-37776.26551
1,20.03,25260,26034.11045528853,26034.11045528853,-3396.370455,-4.870642568,139541.00551079426
1,20.04,25610,25999.03738692871,25999.03738692871,-3011.297387,-2.431008908, 
1,20.05,24986.7,25964.11908513325,25964.11908513325,-3599.679085,-6.183386075, 
1,20.06,25780,25929.35500794493,25929.35500794493,-2771.615008,-0.930204279, 
1,20.07,25286.7,25894.74461481806,25894.74461481806,-3230.304615,-3.823748929, 
1,20.08,25436.7,25860.287366615674,25860.287366615674,-3045.847367,-2.655905479, 
1,20.09,24590,25825.98273,25825.98273,-3858.242726,-7.881940219, 
1,20.1,25063.3,25791.830155464162,25791.830155464162,-3350.790155,-4.601807066, 
1,20.11,25306.7,25757.829121260544,25757.829121260544,-3073.389121,-2.835849012, 
1,20.12,25006.7,25723.97908946688,25723.97908946688,-3339.539089,-4.535863516, 
1,20.13,25146.7,25690.279527949282,25690.279527949282,-3165.839528,-3.427856176, 
1,20.14,25183.3,25656.729905966225,25656.729905966225,-3095.689906,-2.983316765, 
1,20.15,24996.7,25623.32969416598,25623.32969416598,-3248.889694,-3.96341576, 
1,20.16,25076.7,25590.078364583824,25590.078364583824,-3135.638365,-3.241920569, 
1,20.17,24993.3,25556.975390639334,25556.975390639334,-3185.935391,-3.565473996, 
1,20.18,25086.7,25524.02024713376,25524.02024713376,-3059.580247,-2.76107254, 
1,20.19,25156.7,25491.212410247284,25491.212410247284,-2956.77241,-2.109042829, 
1,20.2,25233.3,25458.551357536333,25458.551357536333,-2847.511358,-1.418013585, 
1,20.21,24810,25426.03656793086,25426.03656793086,-3238.296568,-3.91104768, 
1,20.22,24610,25393.66752173176,25393.66752173176,-3405.927522,-4.995466391, 
1,20.23,25053.3,25361.4437,25361.4437,-2930.403701,-1.9467977, 
1,20.24,25063.3,25329.364587594482,25329.364587594482,-2888.324588,-1.680613891, 
1,20.25,25066.7,25297.42966708834,25297.42966708834,-2852.989667,-1.457319774, 
1,20.26,25110,25265.63842484733,25265.63842484733,-2777.898425,-0.982185392, 
1,20.27,25103.3,25233.990347986626,25233.990347986626,-2752.950348,-0.82485594, 
1,20.28,24800,25202.484924976274,25202.484924976274,-3024.744925,-2.555781829, 
1,20.29,25163.3,25171.121645638545,25171.121645638545,-2630.081646,-0.049307654, 
1,20.3,24693.3,25139.900001145223,25139.900001145223,-3068.860001,-2.842033243, 
1,20.31,24666.7,25108.819484015068,25108.819484015068,-3064.379484,-2.815037137, 
1,20.32,24783.3,25077.879588111056,25077.879588111056,-2916.839588,-1.871212386, 
1,20.33,24563.3,25047.079808637878,25047.079808637878,-3106.039809,-3.086770792, 
1,20.34,24993.3,25016.41964213909,25016.41964213909,-2645.379642,-0.146241053, 
1,20.35,24766.7,24985.898586494724,24985.898586494724,-2841.458586,-1.392847848, 
1,20.36,25336.7,24955.516140918517,24955.516140918517,-2241.076141,2.3947461180186322, 
1,20.37,24806.7,24925.271805955264,24925.271805955264,-2740.831806,-0.752830035, 
1,20.38,24500,24895.165083478332,24895.165083478332,-3017.425083,-2.524617111, 
1,20.39,24920,24865.19547668685,24865.19547668685,-2567.455477,0.3471701568398695, 
1,20.4,24836.7,24835.36249010331,24835.36249010331,-2620.92249,0.008486919, 
1,20.41,24736.7,24805.66562957078,24805.66562957078,-2691.22563,-0.438492151, 
1,20.42,24833.3,24776.104402250417,24776.104402250417,-2565.064402,0.362948817, 
1,20.43,24760,24746.67831661877,24746.67831661877,-2608.938317,0.084661077, 
1,20.44,24670,24717.386882465253,24717.386882465253,-2669.646882,-0.301698786, 
1,20.45,24713.3,24688.229610889535,24688.229610889535,-2597.189611,0.15947613582417408, 
1,20.46,24486.7,24659.206014298925,24659.206014298925,-2794.766014,-1.102399762, 
1,20.47,24590,24630.315606405773,24630.315606405773,-2662.575606,-0.257095179, 
1,20.48,24580,24601.557902224966,24601.557902224966,-2643.817902,-0.137504072, 
1,20.49,24766.7,24572.93241807126,24572.93241807126,-2428.492418,1.2312522803816515, 
1,20.5,24926.7,24544.438671556723,24544.438671556723,-2239.998672,2.421184981, 
1,20.51,24750,24516.07618158823,24516.07618158823,-2388.336182,1.4869173972606875, 
1,20.52,24803.3,24487.844468364794,24487.844468364794,-2306.804468,2.003011368592814, 
1,20.53,24820,24459.74305337507,24459.74305337507,-2262.003053,2.286712023228191, 
1,20.54,24490,24431.771459394775,24431.771459394775,-2564.031459,0.3720844434190677, 
1,20.55,24306.7,24403.92921048413,24403.92921048413,-2719.48921,-0.623639707, 
1,20.56,24420,24376.21583198529,24376.21583198529,-2578.475832,0.2801846069171762, 
1,20.57,24393.3,24348.630850519796,24348.630850519796,-2577.590851,0.2860041961005675, 
1,20.58,24313.3,24321.173793986094,24321.173793986094,-2630.133794,-0.050496595, 
1,20.59,24786.7,24293.844191556902,24293.844191556902,-2129.404192,3.130477048099432, 
1,20.6,24823.3,24266.64157367672,24266.64157367672,-2065.601574,3.533125217524273, 
1,20.61,24136.7,24239.56547205927,24239.56547205927,-2725.125472,-0.662110808, 
1,20.62,24210,24212.615419684993,24212.615419684993,-2624.87542,-0.016809082, 
1,20.63,24216.7,24185.790950798506,24185.790950798506,-2591.350951,0.1986223724423811, 
1,20.64,24086.7,24159.091600906067,24159.091600906067,-2694.651601,-0.46644402, 
1,20.65,24166.7,24132.516906773086,24132.516906773086,-2588.076907,0.21988858472137904, 
1,20.66,24370,24106.06640642155,24106.06640642155,-2358.326406,1.6907013768372925, 
1,20.67,24110,24079.73963912759,24079.73963912759,-2591.999639,0.1948836916246144, 
1,20.68,24173.3,24053.536145418922,24053.536145418922,-2502.496145,0.770296269, 
1,20.69,24470,24027.45546707232,24027.45546707232,-2179.715467,2.8290459100379657, 
1,20.7,24526.7,24001.497147111157,24001.497147111157,-2097.057147,3.3535710893650075, 
1,20.71,24756.7,23975.660729802905,23975.660729802905,-1841.22073,4.963939657780416, 
1,20.72,24453.3,23949.94576065663,23949.94576065663,-2118.905761,3.218881528560946, 
1,20.73,23873.3,23924.35178642045,23924.35178642045,-2673.311786,-0.330411166, 
1,20.74,23756.7,23898.87835507915,23898.87835507915,-2764.438355,-0.922444888, 
1,20.75,23650,23873.52501585162,23873.52501585162,-2845.785016,-1.453485025, 
1,20.76,23486.7,23848.291319188378,23848.291319188378,-2983.851319,-2.359429448, 
1,20.77,23770,23823.176816769184,23823.176816769184,-2675.436817,-0.344911556, 
1,20.78,24026.7,23798.181061500396,23798.181061500396,-2393.741062,1.4742635740090608, 
1,20.79,23753.3,23773.30360751267,23773.30360751267,-2642.263608,-0.129791529, 
1,20.8,23600,23748.544010158406,23748.544010158406,-2770.80401,-0.966939146, 
1,20.81,23853.3,23723.901826009314,23723.901826009314,-2492.861826,0.8378261526025933, 
1,20.82,23233.3,23699.376612853906,23699.376612853906,-3088.336613,-3.057749198, 
1,20.83,23906.7,23674.96792969514,23674.96792969514,-2390.52793,1.4987400946066638, 
1,20.84,23166.7,23650.67533674786,23650.67533674786,-3106.235337,-3.179736582, 
1,20.85,23320,23626.498395436436,23626.498395436436,-2928.758395,-2.007076529, 
1,20.86,23493.3,23602.436668392264,23602.436668392264,-2731.396668,-0.712030635, 
1,20.87,23166.7,23578.48971945131,23578.48971945131,-3034.049719,-2.705474299, 
1,20.88,23810,23554.657113651778,23554.657113651778,-2366.917114,1.6547944877437182, 
1,20.89,23760,23530.93841723154,23530.93841723154,-2393.198417,1.486035002776776, 
1,20.9,23460,23507.333197625827,23507.333197625827,-2669.593198,-0.309030853, 
1,20.91,23360,23483.84102346469,23483.84102346469,-2746.101023,-0.810266928, 
1,20.92,23310,23460.46146457065,23460.46146457065,-2772.721465,-0.985494371, 
1,20.93,23560,23437.19409195631,23437.19409195631,-2499.454092,0.8000766901493553, 
1,20.94,23086.7,23414.03847782184,23414.03847782184,-2949.598478,-2.154349344, 
1,20.95,23690,23390.994195552634,23390.994195552634,-2323.254196,1.9426613006954612, 
1,20.96,23413.3,23368.06081971687,23368.06081971687,-2577.02082,0.2956537638051562, 
1,20.97,23056.7,23345.237926063157,23345.237926063157,-2910.797926,-1.900221954, 
1,20.98,23696.7,23322.525091518073,23322.525091518073,-2248.085092,2.4306964454801236, 
1,20.99,23173.3,23299.921894183797,23299.921894183797,-2748.881894,-0.831792239, 
1,21,23773.3,23277.427913335683,23277.427913335683,-2126.387913,3.2160658057283347, 
1,21.01,23480,23255.042729419954,23255.042729419954,-2397.302729,1.4680842780575374, 
1,21.02,23110,23232.765924051204,23232.765924051204,-2745.025924,-0.807565699, 
1,21.03,23020,23210.59708001009,23210.59708001009,-2812.85708,-1.256213867, 
